step,ball_x,ball_y,paddle1_x,paddle2_x,bot1_action,bot2_action,score_bot1,score_bot2
1,24,14,15,15,right,right,0,0
2,23,13,16,16,right,right,0,0
3,22,12,17,17,right,right,0,0
4,21,11,18,18,right,right,0,0
5,20,10,19,19,right,right,0,0
6,19,9,19,19,stay,stay,0,0
7,18,8,19,18,stay,left,0,0
8,17,7,20,18,right,stay,0,0
9,16,6,21,17,right,left,0,0
10,15,5,22,16,right,left,0,0
11,14,4,21,15,left,left,0,0
12,13,3,20,14,left,left,0,0
13,12,2,19,13,left,left,0,0
14,11,1,18,12,left,left,0,0
15,10,0,17,12,left,stay,0,0
16,20,16,15,15,right,right,1,0
17,21,17,16,14,right,left,1,0
18,22,18,17,15,right,right,1,0
19,23,19,18,14,right,left,1,0
20,24,20,19,15,right,right,1,0
21,25,21,20,16,right,right,1,0
22,26,22,21,17,right,right,1,0
23,27,23,22,18,right,right,1,0
24,28,24,23,19,right,right,1,0
25,29,25,24,19,right,stay,1,0
26,28,26,25,20,right,right,1,0
27,27,27,26,21,right,right,1,0
28,26,28,26,22,stay,right,1,0
29,25,29,26,23,stay,right,1,0
30,1,14,13,13,left,left,1,1
31,0,13,12,12,left,left,1,1
32,1,12,11,11,left,left,1,1
33,2,11,10,10,left,left,1,1
34,3,10,9,9,left,left,1,1
35,4,9,8,8,left,left,1,1
36,5,8,7,7,left,left,1,1
37,6,7,6,6,left,left,1,1
38,7,6,6,6,stay,stay,1,1
39,8,5,6,6,stay,stay,1,1
40,9,4,7,7,right,right,1,1
41,10,3,8,8,right,right,1,1
42,11,2,9,9,right,right,1,1
43,12,1,10,10,right,right,1,1
44,13,0,11,11,right,right,1,1
45,8,16,13,13,left,left,2,1
46,9,17,12,12,left,left,2,1
47,10,18,11,11,left,left,2,1
48,11,19,10,10,left,left,2,1
49,12,20,10,11,stay,right,2,1
50,13,21,11,11,right,stay,2,1
51,14,22,12,12,right,right,2,1
52,15,23,13,13,right,right,2,1
53,16,24,14,13,right,stay,2,1
54,17,25,15,14,right,right,2,1
55,18,26,16,15,right,right,2,1
56,19,27,17,16,right,right,2,1
57,20,28,18,17,right,right,2,1
58,21,29,19,18,right,right,2,1
59,18,14,15,15,right,right,2,2
60,17,13,16,16,right,right,2,2
61,16,12,16,16,stay,stay,2,2
62,15,11,16,16,stay,stay,2,2
63,14,10,15,15,left,left,2,2
64,13,9,14,14,left,left,2,2
65,12,8,13,13,left,left,2,2
66,11,7,12,12,left,left,2,2
67,10,6,11,11,left,left,2,2
68,9,5,11,10,stay,left,2,2
69,8,4,10,9,left,left,2,2
70,7,3,9,8,left,left,2,2
71,6,2,8,7,left,left,2,2
72,5,1,7,6,left,left,2,2
73,4,0,6,7,left,right,2,2
74,28,16,15,15,right,right,3,2
75,27,17,16,16,right,right,3,2
76,26,18,17,17,right,right,3,2
77,25,19,18,18,right,right,3,2
78,24,20,19,19,right,right,3,2
79,23,21,20,19,right,stay,3,2
80,22,22,21,20,right,right,3,2
81,21,23,21,21,stay,right,3,2
82,20,24,21,21,stay,stay,3,2
83,19,25,20,20,left,left,3,2
84,18,26,19,21,left,right,3,2
85,17,27,20,20,right,left,3,2
86,16,28,19,19,left,left,3,2
87,15,29,18,18,left,left,3,2
88,1,14,13,13,left,left,3,3
89,2,13,12,12,left,left,3,3
90,3,12,11,11,left,left,3,3
91,4,11,10,11,left,stay,3,3
92,5,10,9,10,left,left,3,3
93,6,9,8,9,left,left,3,3
94,7,8,7,8,left,left,3,3
95,8,7,7,7,stay,left,3,3
96,9,6,7,7,stay,stay,3,3
97,10,5,8,8,right,right,3,3
98,11,4,9,9,right,right,3,3
99,12,3,10,10,right,right,3,3
100,13,2,11,11,right,right,3,3
101,14,1,12,11,right,stay,3,3
102,15,0,13,12,right,right,3,3
103,27,14,15,14,right,stay,4,3
104,26,13,16,15,right,right,4,3
105,25,12,17,16,right,right,4,3
106,24,11,18,17,right,right,4,3
107,23,10,19,18,right,right,4,3
108,22,9,20,19,right,right,4,3
109,21,8,21,18,right,left,4,3
110,20,7,21,19,stay,right,4,3
111,19,6,20,19,left,stay,4,3
112,18,5,19,19,left,stay,4,3
113,17,4,18,18,left,left,4,3
114,16,3,17,17,left,left,4,3
115,15,2,16,16,left,left,4,3
116,14,1,15,15,left,left,4,3
117,13,0,14,14,left,left,4,3
