step,ball_x,ball_y,paddle1_x,paddle2_x,bot1_action,bot2_action,score_bot1,score_bot2
1,5,16,13,13,left,left,0,0
2,4,17,12,14,left,right,0,0
3,3,18,11,13,left,left,0,0
4,2,19,10,12,left,left,0,0
5,1,20,9,11,left,left,0,0
6,0,21,8,10,left,left,0,0
7,1,22,7,9,left,left,0,0
8,2,23,6,8,left,left,0,0
9,3,24,5,7,left,left,0,0
10,4,25,6,6,right,left,0,0
11,5,26,5,5,left,left,0,0
12,6,27,5,5,stay,stay,0,0
13,7,28,5,5,stay,stay,0,0
14,8,29,4,6,left,right,0,0
15,10,14,13,13,left,left,0,1
16,11,13,12,12,left,left,0,1
17,12,12,11,11,left,left,0,1
18,13,11,11,11,stay,stay,0,1
19,14,10,12,12,right,right,0,1
20,15,9,13,13,right,right,0,1
21,16,8,14,14,right,right,0,1
22,17,7,15,15,right,right,0,1
23,18,6,16,16,right,right,0,1
24,19,5,17,17,right,right,0,1
25,20,4,18,18,right,right,0,1
26,21,3,19,19,right,right,0,1
27,22,2,20,20,right,right,0,1
28,23,1,21,21,right,right,0,1
29,24,0,22,22,right,right,0,1
30,10,14,13,13,left,left,1,1
31,11,13,13,12,stay,left,1,1
32,12,12,12,11,left,left,1,1
33,13,11,12,11,stay,stay,1,1
34,14,10,12,12,stay,right,1,1
35,15,9,13,13,right,right,1,1
36,16,8,14,14,right,right,1,1
37,17,7,15,15,right,right,1,1
38,18,6,16,16,right,right,1,1
39,19,5,17,17,right,right,1,1
40,20,4,18,18,right,right,1,1
41,21,3,19,19,right,right,1,1
42,22,2,20,20,right,right,1,1
43,23,1,21,21,right,right,1,1
44,24,0,22,22,right,right,1,1
45,0,14,13,13,left,left,2,1
46,1,13,12,12,left,left,2,1
47,2,12,11,11,left,left,2,1
48,3,11,10,10,left,left,2,1
49,4,10,9,9,left,left,2,1
50,5,9,8,8,left,left,2,1
51,6,8,8,7,stay,left,2,1
52,7,7,7,6,left,left,2,1
53,8,6,7,6,stay,stay,2,1
54,9,5,7,7,stay,right,2,1
55,10,4,8,8,right,right,2,1
56,11,3,9,9,right,right,2,1
57,12,2,10,10,right,right,2,1
58,13,1,9,11,left,right,2,1
59,14,0,10,12,right,right,2,1
60,14,14,14,14,stay,stay,3,1
61,13,13,14,14,stay,stay,3,1
62,12,12,13,13,left,left,3,1
63,11,11,12,12,left,left,3,1
64,10,10,11,11,left,left,3,1
65,9,9,10,10,left,left,3,1
66,8,8,9,9,left,left,3,1
67,7,7,8,8,left,left,3,1
68,6,6,9,7,right,left,3,1
69,5,5,10,6,right,left,3,1
70,4,4,9,5,left,left,3,1
71,3,3,8,4,left,left,3,1
72,2,2,7,3,left,left,3,1
73,1,1,6,2,left,left,3,1
74,0,0,5,1,left,left,3,1
75,12,14,13,13,left,left,4,1
76,13,13,12,12,left,left,4,1
77,14,12,12,12,stay,stay,4,1
78,15,11,13,13,right,right,4,1
79,16,10,14,14,right,right,4,1
80,17,9,15,13,right,left,4,1
81,18,8,16,14,right,right,4,1
82,19,7,17,15,right,right,4,1
83,20,6,18,16,right,right,4,1
84,21,5,19,17,right,right,4,1
85,22,4,20,18,right,right,4,1
86,23,3,21,19,right,right,4,1
87,24,2,22,20,right,right,4,1
88,25,1,23,21,right,right,4,1
89,26,0,24,22,right,right,4,1
