step,ball_x,ball_y,paddle1_x,paddle2_x,bot1_action,bot2_action,score_bot1,score_bot2
1,21,16,15,15,right,right,0,0
2,20,17,16,16,right,right,0,0
3,19,18,16,15,stay,left,0,0
4,18,19,17,16,right,right,0,0
5,17,20,17,17,stay,right,0,0
6,16,21,17,17,stay,stay,0,0
7,15,22,18,16,right,left,0,0
8,14,23,17,15,left,left,0,0
9,13,24,16,14,left,left,0,0
10,12,25,15,13,left,left,0,0
11,11,26,14,12,left,left,0,0
12,10,27,13,11,left,left,0,0
13,9,28,12,10,left,left,0,0
14,8,29,11,9,left,left,0,0
15,4,16,13,13,left,left,0,1
16,5,17,12,12,left,left,0,1
17,6,18,11,11,left,left,0,1
18,7,19,10,10,left,left,0,1
19,8,20,9,9,left,left,0,1
20,9,21,8,9,left,stay,0,1
21,10,22,8,9,stay,stay,0,1
22,11,23,9,9,right,stay,0,1
23,12,24,8,10,left,right,0,1
24,13,25,9,11,right,right,0,1
25,14,26,10,12,right,right,0,1
26,15,27,10,13,stay,right,0,1
27,16,28,11,14,right,right,0,1
28,17,29,12,14,right,stay,0,1
29,5,14,13,13,left,left,0,2
30,4,13,12,12,left,left,0,2
31,3,12,11,11,left,left,0,2
32,2,11,10,10,left,left,0,2
33,1,10,9,9,left,left,0,2
34,0,9,8,8,left,left,0,2
35,1,8,7,7,left,left,0,2
36,2,7,6,6,left,left,0,2
37,3,6,5,5,left,left,0,2
38,4,5,4,4,left,left,0,2
39,5,4,4,4,stay,stay,0,2
40,6,3,4,4,stay,stay,0,2
41,7,2,5,5,right,right,0,2
42,8,1,6,4,right,left,0,2
43,9,0,7,5,right,right,0,2
44,11,14,13,13,left,left,1,2
45,10,13,12,12,left,left,1,2
46,9,12,11,11,left,left,1,2
47,8,11,10,10,left,left,1,2
48,7,10,9,9,left,left,1,2
49,6,9,8,8,left,left,1,2
50,5,8,7,7,left,left,1,2
51,4,7,6,6,left,left,1,2
52,3,6,5,5,left,left,1,2
53,2,5,4,4,left,left,1,2
54,1,4,3,3,left,left,1,2
55,0,3,4,2,right,left,1,2
56,1,2,3,1,left,left,1,2
57,2,1,2,1,left,stay,1,2
58,3,0,2,1,stay,stay,1,2
59,17,14,15,15,right,right,2,2
60,18,13,16,14,right,left,2,2
61,19,12,17,15,right,right,2,2
62,20,11,18,16,right,right,2,2
63,21,10,19,17,right,right,2,2
64,22,9,20,18,right,right,2,2
65,23,8,21,19,right,right,2,2
66,24,7,22,20,right,right,2,2
67,25,6,23,21,right,right,2,2
68,26,5,24,22,right,right,2,2
69,27,4,25,23,right,right,2,2
70,28,3,26,24,right,right,2,2
71,29,2,27,25,right,right,2,2
72,28,1,28,26,right,right,2,2
73,27,0,28,27,stay,right,2,2
74,26,1,27,27,left,stay,2,2
75,25,2,26,26,left,left,2,2
76,24,3,25,25,left,left,2,2
77,23,4,24,24,left,left,2,2
78,22,5,23,23,left,left,2,2
79,21,6,22,22,left,left,2,2
80,20,7,21,21,left,left,2,2
81,19,8,22,20,right,left,2,2
82,18,9,22,19,stay,left,2,2
83,17,10,21,18,left,left,2,2
84,16,11,20,17,left,left,2,2
85,15,12,19,16,left,left,2,2
86,14,13,18,15,left,left,2,2
87,13,14,17,14,left,left,2,2
88,12,15,16,13,left,left,2,2
89,11,16,15,12,left,left,2,2
90,10,17,14,11,left,left,2,2
91,9,18,13,10,left,left,2,2
92,8,19,12,9,left,left,2,2
93,7,20,11,8,left,left,2,2
94,6,21,10,7,left,left,2,2
95,5,22,9,6,left,left,2,2
96,4,23,8,5,left,left,2,2
97,3,24,7,4,left,left,2,2
98,2,25,6,3,left,left,2,2
99,1,26,5,2,left,left,2,2
100,0,27,4,1,left,left,2,2
101,1,28,3,0,left,left,2,2
102,2,29,2,0,left,stay,2,2
103,3,28,2,1,stay,right,2,2
104,4,27,2,2,stay,right,2,2
105,5,26,3,3,right,right,2,2
106,6,25,4,4,right,right,2,2
107,7,24,5,5,right,right,2,2
108,8,23,6,6,right,right,2,2
109,9,22,6,7,stay,right,2,2
110,10,21,7,8,right,right,2,2
111,11,20,8,9,right,right,2,2
112,12,19,9,10,right,right,2,2
113,13,18,10,11,right,right,2,2
114,14,17,11,12,right,right,2,2
115,15,16,12,13,right,right,2,2
116,16,15,13,14,right,right,2,2
117,17,14,14,15,right,right,2,2
118,18,13,15,16,right,right,2,2
119,19,12,15,17,stay,right,2,2
120,20,11,16,18,right,right,2,2
121,21,10,17,19,right,right,2,2
122,22,9,18,20,right,right,2,2
123,23,8,19,21,right,right,2,2
124,24,7,20,22,right,right,2,2
125,25,6,21,23,right,right,2,2
126,26,5,22,24,right,right,2,2
127,27,4,23,25,right,right,2,2
128,28,3,24,26,right,right,2,2
129,29,2,25,27,right,right,2,2
130,28,1,26,28,right,right,2,2
131,27,0,27,28,right,stay,2,2
132,16,16,15,13,right,left,3,2
133,15,17,15,14,stay,right,3,2
134,14,18,15,14,stay,stay,3,2
135,13,19,14,14,left,stay,3,2
136,12,20,13,13,left,left,3,2
137,11,21,12,12,left,left,3,2
138,10,22,11,13,left,right,3,2
139,9,23,10,12,left,left,3,2
140,8,24,9,11,left,left,3,2
141,7,25,8,12,left,right,3,2
142,6,26,7,11,left,left,3,2
143,5,27,6,10,left,left,3,2
144,4,28,5,9,left,left,3,2
145,3,29,4,8,left,left,3,2
146,18,14,15,15,right,right,3,3
147,19,13,16,16,right,right,3,3
148,20,12,17,17,right,right,3,3
149,21,11,18,18,right,right,3,3
150,22,10,19,19,right,right,3,3
151,23,9,20,20,right,right,3,3
152,24,8,21,21,right,right,3,3
153,25,7,20,22,left,right,3,3
154,26,6,21,23,right,right,3,3
155,27,5,22,24,right,right,3,3
156,28,4,23,25,right,right,3,3
157,29,3,24,26,right,right,3,3
158,28,2,25,27,right,right,3,3
159,27,1,26,27,right,stay,3,3
160,26,0,26,27,stay,stay,3,3
161,8,16,13,13,left,left,4,3
162,7,17,12,12,left,left,4,3
163,6,18,11,11,left,left,4,3
164,5,19,10,10,left,left,4,3
165,4,20,9,9,left,left,4,3
166,3,21,8,8,left,left,4,3
167,2,22,7,7,left,left,4,3
168,1,23,6,6,left,left,4,3
169,0,24,5,5,left,left,4,3
170,1,25,4,4,left,left,4,3
171,2,26,5,3,right,left,4,3
172,3,27,4,2,left,left,4,3
173,4,28,3,2,left,stay,4,3
174,5,29,3,3,stay,right,4,3
175,17,16,15,15,right,right,4,4
176,18,17,16,16,right,right,4,4
177,19,18,17,17,right,right,4,4
178,20,19,18,18,right,right,4,4
179,21,20,19,19,right,right,4,4
180,22,21,20,20,right,right,4,4
181,23,22,21,21,right,right,4,4
182,24,23,22,22,right,right,4,4
183,25,24,23,23,right,right,4,4
184,26,25,24,24,right,right,4,4
185,27,26,25,25,right,right,4,4
186,28,27,26,26,right,right,4,4
187,29,28,27,27,right,right,4,4
188,28,29,28,28,right,right,4,4
189,27,28,27,28,left,stay,4,4
190,26,27,27,27,stay,left,4,4
191,25,26,26,26,left,left,4,4
192,24,25,25,25,left,left,4,4
193,23,24,24,24,left,left,4,4
194,22,23,23,23,left,left,4,4
195,21,22,22,22,left,left,4,4
196,20,21,21,21,left,left,4,4
197,19,20,20,20,left,left,4,4
198,18,19,19,19,left,left,4,4
199,17,18,18,18,left,left,4,4
200,16,17,17,17,left,left,4,4
201,15,16,16,18,left,right,4,4
202,14,15,15,17,left,left,4,4
203,13,14,14,16,left,left,4,4
204,12,13,13,15,left,left,4,4
205,11,12,12,14,left,left,4,4
206,10,11,12,13,stay,left,4,4
207,9,10,12,12,stay,left,4,4
208,8,9,11,11,left,left,4,4
209,7,8,10,10,left,left,4,4
210,6,7,9,9,left,left,4,4
211,5,6,8,10,left,right,4,4
212,4,5,7,9,left,left,4,4
213,3,4,6,8,left,left,4,4
214,2,3,5,7,left,left,4,4
215,1,2,4,6,left,left,4,4
216,0,1,3,5,left,left,4,4
217,1,0,2,4,left,left,4,4
