step,ball_x,ball_y,paddle1_x,paddle2_x,bot1_action,bot2_action,score_bot1,score_bot2
1,24,16,15,15,right,right,0,0
2,23,17,16,16,right,right,0,0
3,22,18,17,17,right,right,0,0
4,21,19,18,18,right,right,0,0
5,20,20,19,19,right,right,0,0
6,19,21,19,19,stay,stay,0,0
7,18,22,19,19,stay,stay,0,0
8,17,23,18,18,left,left,0,0
9,16,24,17,17,left,left,0,0
10,15,25,16,16,left,left,0,0
11,14,26,15,15,left,left,0,0
12,13,27,14,14,left,left,0,0
13,12,28,13,13,left,left,0,0
14,11,29,12,12,left,left,0,0
15,27,14,15,14,right,stay,0,1
16,28,13,16,15,right,right,0,1
17,29,12,17,16,right,right,0,1
18,28,11,18,17,right,right,0,1
19,27,10,19,18,right,right,0,1
20,26,9,20,19,right,right,0,1
21,25,8,21,20,right,right,0,1
22,24,7,22,21,right,right,0,1
23,23,6,23,21,right,stay,0,1
24,22,5,23,21,stay,stay,0,1
25,21,4,22,21,left,stay,0,1
26,20,3,21,21,left,stay,0,1
27,19,2,20,20,left,left,0,1
28,18,1,19,20,left,stay,0,1
29,17,0,18,19,left,left,0,1
30,24,16,15,15,right,right,1,1
31,23,17,16,16,right,right,1,1
32,22,18,17,17,right,right,1,1
33,21,19,18,18,right,right,1,1
34,20,20,17,19,left,right,1,1
35,19,21,18,19,right,stay,1,1
36,18,22,18,19,stay,stay,1,1
37,17,23,18,18,stay,left,1,1
38,16,24,17,17,left,left,1,1
39,15,25,16,16,left,left,1,1
40,14,26,15,15,left,left,1,1
41,13,27,14,14,left,left,1,1
42,12,28,14,13,stay,left,1,1
43,11,29,13,12,left,left,1,1
44,15,16,15,14,right,stay,1,2
45,14,17,15,14,stay,stay,1,2
46,13,18,14,14,left,stay,1,2
47,12,19,13,15,left,right,1,2
48,11,20,12,14,left,left,1,2
49,10,21,11,15,left,right,1,2
50,9,22,10,14,left,left,1,2
51,8,23,9,13,left,left,1,2
52,7,24,8,12,left,left,1,2
53,6,25,7,11,left,left,1,2
54,5,26,7,10,stay,left,1,2
55,4,27,6,9,left,left,1,2
56,3,28,5,8,left,left,1,2
57,2,29,4,7,left,left,1,2
58,13,16,13,13,left,left,1,3
59,14,17,14,13,right,stay,1,3
60,15,18,14,13,stay,stay,1,3
61,16,19,14,14,stay,right,1,3
62,17,20,15,15,right,right,1,3
63,18,21,16,16,right,right,1,3
64,19,22,17,17,right,right,1,3
65,20,23,18,18,right,right,1,3
66,21,24,19,19,right,right,1,3
67,22,25,20,20,right,right,1,3
68,23,26,21,21,right,right,1,3
69,24,27,22,22,right,right,1,3
70,25,28,23,23,right,right,1,3
71,26,29,24,24,right,right,1,3
72,24,16,15,15,right,right,1,4
73,23,17,14,16,left,right,1,4
74,22,18,13,17,left,right,1,4
75,21,19,14,18,right,right,1,4
76,20,20,15,19,right,right,1,4
77,19,21,16,19,right,stay,1,4
78,18,22,16,19,stay,stay,1,4
79,17,23,17,18,right,left,1,4
80,16,24,17,17,stay,left,1,4
81,15,25,16,16,left,left,1,4
82,14,26,15,15,left,left,1,4
83,13,27,14,14,left,left,1,4
84,12,28,13,13,left,left,1,4
85,11,29,12,12,left,left,1,4
