step,ball_x,ball_y,paddle1_x,paddle2_x,bot1_action,bot2_action,score_bot1,score_bot2
1,24,14,15,15,right,right,0,0
2,25,13,16,16,right,right,0,0
3,26,12,17,17,right,right,0,0
4,27,11,18,18,right,right,0,0
5,28,10,19,19,right,right,0,0
6,29,9,20,20,right,right,0,0
7,28,8,21,21,right,right,0,0
8,27,7,22,21,right,stay,0,0
9,26,6,23,22,right,right,0,0
10,25,5,24,23,right,right,0,0
11,24,4,24,24,stay,right,0,0
12,23,3,24,24,stay,stay,0,0
13,22,2,23,23,left,left,0,0
14,21,1,22,22,left,left,0,0
15,20,0,21,21,left,left,0,0
16,24,14,14,15,stay,right,1,0
17,23,13,15,16,right,right,1,0
18,22,12,16,17,right,right,1,0
19,21,11,17,18,right,right,1,0
20,20,10,18,19,right,right,1,0
21,19,9,19,19,right,stay,1,0
22,18,8,19,19,stay,stay,1,0
23,17,7,18,18,left,left,1,0
24,16,6,17,17,left,left,1,0
25,15,5,16,16,left,left,1,0
26,14,4,15,15,left,left,1,0
27,13,3,14,14,left,left,1,0
28,12,2,13,13,left,left,1,0
29,11,1,12,14,left,right,1,0
30,10,0,11,13,left,left,1,0
31,5,14,13,13,left,left,2,0
32,4,13,12,12,left,left,2,0
33,3,12,11,11,left,left,2,0
34,2,11,10,10,left,left,2,0
35,1,10,9,9,left,left,2,0
36,0,9,8,8,left,left,2,0
37,1,8,7,9,left,right,2,0
38,2,7,6,8,left,left,2,0
39,3,6,5,8,left,stay,2,0
40,4,5,5,7,stay,left,2,0
41,5,4,4,6,left,left,2,0
42,6,3,4,6,stay,stay,2,0
43,7,2,5,6,right,stay,2,0
44,8,1,6,6,right,stay,2,0
45,9,0,7,7,right,right,2,0
46,1,14,13,13,left,left,3,0
47,0,13,12,12,left,left,3,0
48,1,12,11,11,left,left,3,0
49,2,11,10,10,left,left,3,0
50,3,10,9,9,left,left,3,0
51,4,9,8,8,left,left,3,0
52,5,8,7,7,left,left,3,0
53,6,7,6,6,left,left,3,0
54,7,6,6,6,stay,stay,3,0
55,8,5,6,7,stay,right,3,0
56,9,4,7,7,right,stay,3,0
57,10,3,8,8,right,right,3,0
58,11,2,9,9,right,right,3,0
59,12,1,10,10,right,right,3,0
60,13,0,11,11,right,right,3,0
61,15,14,15,15,right,right,4,0
62,14,13,15,15,stay,stay,4,0
63,13,12,14,14,left,left,4,0
64,12,11,13,13,left,left,4,0
65,11,10,12,12,left,left,4,0
66,10,9,11,11,left,left,4,0
67,9,8,10,10,left,left,4,0
68,8,7,9,9,left,left,4,0
69,7,6,8,8,left,left,4,0
70,6,5,7,7,left,left,4,0
71,5,4,6,6,left,left,4,0
72,4,3,5,5,left,left,4,0
73,3,2,4,4,left,left,4,0
74,2,1,5,3,right,left,4,0
75,1,0,4,2,left,left,4,0
