step,ball_x,ball_y,paddle1_x,paddle2_x,bot1_action,bot2_action,score_bot1,score_bot2
1,21,14,15,15,right,right,0,0
2,22,13,16,14,right,left,0,0
3,23,12,17,15,right,right,0,0
4,24,11,18,16,right,right,0,0
5,25,10,19,17,right,right,0,0
6,26,9,20,18,right,right,0,0
7,27,8,21,19,right,right,0,0
8,28,7,22,20,right,right,0,0
9,29,6,23,21,right,right,0,0
10,28,5,24,22,right,right,0,0
11,27,4,25,23,right,right,0,0
12,26,3,26,24,right,right,0,0
13,25,2,26,25,stay,right,0,0
14,24,1,26,25,stay,stay,0,0
15,23,0,25,24,left,left,0,0
16,12,16,13,13,left,left,1,0
17,13,17,12,12,left,left,1,0
18,14,18,12,12,stay,stay,1,0
19,15,19,13,13,right,right,1,0
20,16,20,14,14,right,right,1,0
21,17,21,15,15,right,right,1,0
22,18,22,16,16,right,right,1,0
23,19,23,16,17,stay,right,1,0
24,20,24,17,18,right,right,1,0
25,21,25,18,19,right,right,1,0
26,22,26,19,20,right,right,1,0
27,23,27,20,21,right,right,1,0
28,24,28,21,22,right,right,1,0
29,25,29,22,23,right,right,1,0
30,5,14,13,13,left,left,1,1
31,4,13,12,12,left,left,1,1
32,3,12,11,12,left,stay,1,1
33,2,11,10,11,left,left,1,1
34,1,10,9,10,left,left,1,1
35,0,9,8,9,left,left,1,1
36,1,8,7,8,left,left,1,1
37,2,7,6,7,left,left,1,1
38,3,6,5,8,left,right,1,1
39,4,5,4,7,left,left,1,1
40,5,4,4,6,stay,left,1,1
41,6,3,4,5,stay,left,1,1
42,7,2,5,4,right,left,1,1
43,8,1,6,5,right,right,1,1
44,9,0,7,6,right,right,1,1
45,26,14,15,15,right,right,2,1
46,27,13,16,16,right,right,2,1
47,28,12,17,15,right,left,2,1
48,29,11,18,16,right,right,2,1
49,28,10,19,17,right,right,2,1
50,27,9,20,18,right,right,2,1
51,26,8,21,19,right,right,2,1
52,25,7,22,20,right,right,2,1
53,24,6,23,21,right,right,2,1
54,23,5,23,22,stay,right,2,1
55,22,4,23,22,stay,stay,2,1
56,21,3,22,22,left,stay,2,1
57,20,2,21,21,left,left,2,1
58,19,1,20,20,left,left,2,1
59,18,0,19,19,left,left,2,1
60,1,14,13,13,left,left,3,1
61,2,13,12,12,left,left,3,1
62,3,12,11,11,left,left,3,1
63,4,11,10,12,left,right,3,1
64,5,10,9,11,left,left,3,1
65,6,9,8,11,left,stay,3,1
66,7,8,7,10,left,left,3,1
67,8,7,7,9,stay,left,3,1
68,9,6,7,8,stay,left,3,1
69,10,5,8,8,right,stay,3,1
70,11,4,9,9,right,right,3,1
71,12,3,10,10,right,right,3,1
72,13,2,11,11,right,right,3,1
73,14,1,12,12,right,right,3,1
74,15,0,13,13,right,right,3,1
75,5,16,13,13,left,left,4,1
76,6,17,12,12,left,left,4,1
77,7,18,11,11,left,left,4,1
78,8,19,10,10,left,left,4,1
79,9,20,9,9,left,left,4,1
80,10,21,9,9,stay,stay,4,1
81,11,22,9,9,stay,stay,4,1
82,12,23,10,10,right,right,4,1
83,13,24,11,11,right,right,4,1
84,14,25,12,12,right,right,4,1
85,15,26,11,13,left,right,4,1
86,16,27,11,14,stay,right,4,1
87,17,28,12,15,right,right,4,1
88,18,29,13,16,right,right,4,1
89,20,14,15,15,right,right,4,2
90,19,13,16,16,right,right,4,2
91,18,12,17,16,right,stay,4,2
92,17,11,17,17,stay,right,4,2
93,16,10,17,17,stay,stay,4,2
94,15,9,16,16,left,left,4,2
95,14,8,15,15,left,left,4,2
96,13,7,14,14,left,left,4,2
97,12,6,13,13,left,left,4,2
98,11,5,12,12,left,left,4,2
99,10,4,11,11,left,left,4,2
100,9,3,10,10,left,left,4,2
101,8,2,9,9,left,left,4,2
102,7,1,8,8,left,left,4,2
103,6,0,7,7,left,left,4,2
