step,ball_x,ball_y,paddle1_x,paddle2_x,bot1_action,bot2_action,score_bot1,score_bot2
1,3,14,13,13,left,left,0,0
2,2,13,12,12,left,left,0,0
3,1,12,11,11,left,left,0,0
4,0,11,10,10,left,left,0,0
5,1,10,9,9,left,left,0,0
6,2,9,8,8,left,left,0,0
7,3,8,7,7,left,left,0,0
8,4,7,6,6,left,left,0,0
9,5,6,5,5,left,left,0,0
10,6,5,5,5,stay,stay,0,0
11,7,4,5,5,stay,stay,0,0
12,8,3,5,6,stay,right,0,0
13,9,2,6,7,right,right,0,0
14,10,1,7,8,right,right,0,0
15,11,0,8,9,right,right,0,0
16,7,14,13,13,left,left,1,0
17,6,13,12,12,left,left,1,0
18,5,12,11,11,left,left,1,0
19,4,11,10,10,left,left,1,0
20,3,10,9,11,left,right,1,0
21,2,9,8,10,left,left,1,0
22,1,8,7,9,left,left,1,0
23,0,7,6,8,left,left,1,0
24,1,6,5,7,left,left,1,0
25,2,5,5,6,stay,left,1,0
26,3,4,4,5,left,left,1,0
27,4,3,3,5,left,stay,1,0
28,5,2,3,4,stay,left,1,0
29,6,1,4,4,right,stay,1,0
30,7,0,5,5,right,right,1,0
31,6,14,13,13,left,left,2,0
32,7,13,12,12,left,left,2,0
33,8,12,11,11,left,left,2,0
34,9,11,10,10,left,left,2,0
35,10,10,9,9,left,left,2,0
36,11,9,9,9,stay,stay,2,0
37,12,8,10,10,right,right,2,0
38,13,7,11,11,right,right,2,0
39,14,6,12,12,right,right,2,0
40,15,5,12,12,stay,stay,2,0
41,16,4,13,12,right,stay,2,0
42,17,3,14,13,right,right,2,0
43,18,2,15,14,right,right,2,0
44,19,1,16,15,right,right,2,0
45,20,0,17,16,right,right,2,0
46,6,14,13,13,left,left,3,0
47,5,13,12,12,left,left,3,0
48,4,12,11,11,left,left,3,0
49,3,11,10,10,left,left,3,0
50,2,10,9,9,left,left,3,0
51,1,9,8,8,left,left,3,0
52,0,8,7,7,left,left,3,0
53,1,7,6,6,left,left,3,0
54,2,6,5,5,left,left,3,0
55,3,5,4,4,left,left,3,0
56,4,4,3,3,left,left,3,0
57,5,3,3,4,stay,right,3,0
58,6,2,4,4,right,stay,3,0
59,7,1,5,5,right,right,3,0
60,8,0,6,6,right,right,3,0
61,26,14,15,15,right,right,4,0
62,25,13,16,16,right,right,4,0
63,24,12,17,17,right,right,4,0
64,23,11,18,18,right,right,4,0
65,22,10,18,19,stay,right,4,0
66,21,9,19,20,right,right,4,0
67,20,8,20,20,right,stay,4,0
68,19,7,20,20,stay,stay,4,0
69,18,6,19,19,left,left,4,0
70,17,5,18,18,left,left,4,0
71,16,4,17,17,left,left,4,0
72,15,3,16,16,left,left,4,0
73,14,2,15,16,left,stay,4,0
74,13,1,14,15,left,left,4,0
75,12,0,13,14,left,left,4,0
